"NAME_OF_BOOK"|"CHAPTER_NUMBER"|"VERSE_NUMBER"|"TEXT_OF_VERSE"
"Genesis"|"005"|"029"|"And he called his name Noah, saying, This same shall comfort us concerning our work and toil of our hands, because of the ground which the LORD hath cursed."
"Genesis"|"005"|"030"|"And Lamech lived after he begat Noah five hundred ninety and five years, and begat sons and daughters:"
"Genesis"|"005"|"031"|"And all the days of Lamech were seven hundred seventy and seven years; and he died."
"Genesis"|"005"|"032"|"And Noah was five hundred years old: and Noah begat Shem, Ham, and Japheth."
"Genesis"|"006"|"001"|"And it came to pass, when men began to multiply on the face of the earth, and daughters were born to them,"
"Genesis"|"006"|"002"|"That the sons of God saw the daughters of men that they were fair; and they took them wives of all whom they chose."
"Genesis"|"006"|"003"|"And the LORD said, My spirit shall not always strive with man, for that he also is flesh: yet his days shall be a hundred and twenty years."
"Genesis"|"006"|"004"|"There were giants in the earth in those days; and also after that, when the sons of God came in to the daughters of men, and they bore children to them: the same became mighty men, who were of old, men of renown."
"Genesis"|"006"|"005"|"And GOD saw that the wickedness of man was great in the earth, and that every imagination of the thoughts of his heart was only evil continually."
"Genesis"|"006"|"006"|"And the LORD repented that he had made man on the earth, and it grieved him at his heart."
"Genesis"|"006"|"007"|"And the LORD said, I will destroy man whom I have created, from the face of the earth, both man and beast, and the creeping animal, and the fowls of the air; for I repent that I have made them."
"Genesis"|"006"|"008"|"But Noah found grace in the eyes of the LORD."
"Genesis"|"006"|"009"|"These are the generations of Noah: Noah was a just man, and perfect in his generations, and Noah walked with God."
"Genesis"|"006"|"010"|"And Noah begat three sons, Shem, Ham, and Japheth."
"Genesis"|"006"|"011"|"The earth also was corrupt before God; and the earth was filled with violence."
"Genesis"|"006"|"012"|"And God looked upon the earth, and behold, it was corrupt: for all flesh had corrupted his way upon the earth."
"Genesis"|"006"|"013"|"And God said to Noah, The end of all flesh is come before me; for the earth is filled with violence through them: and behold, I will destroy them with the earth."
"Genesis"|"006"|"014"|"Make thee an ark of gopher-wood: rooms shalt thou make in the ark, and shalt pitch it within and without with pitch."
"Genesis"|"006"|"015"|"And this is the fashion in which thou shalt make it: the length of the ark shall be three hundred cubits, the breadth of it fifty cubits, and the height of it thirty cubits."
"Genesis"|"006"|"016"|"A window shalt thou make to the ark, and in a cubit shalt thou finish it above; and the door of the ark shalt thou set in its side: with lower, second, and third stories shalt thou make it."
"Genesis"|"006"|"017"|"And behold, I, even I do bring a flood of waters upon the earth, to destroy all flesh, in which is the breath of life, from under heaven: and every thing that is on the earth shall die."
"Genesis"|"006"|"018"|"But with thee will I establish my covenant: and thou shalt come into the ark, thou, and thy sons, and thy wife, and thy sons' wives with thee."
"Genesis"|"006"|"019"|"And of every living thing of all flesh, two of every sort shalt thou bring into the ark, to keep them alive with thee: they shall be male and female."
"Genesis"|"006"|"020"|"Of fowls after their kind, and of cattle after their kind, of every creeping animal of the earth after its kind, two of every sort shall come to thee, to keep them alive."
"Genesis"|"006"|"021"|"And take thou to thee of all food that is eaten, and thou shalt gather it to thee; and it shall be for food for thee, and for them."
"Genesis"|"006"|"022"|"Thus did Noah; according to all that God commanded him, so did he."
"Genesis"|"007"|"001"|"And the LORD said to Noah, Come thou and all thy house into the ark: for thee have I seen righteous before me in this generation."
"Genesis"|"007"|"002"|"Of every clean beast thou shalt take to thee by sevens, the male and his female: and of beasts that are not clean by two, the male and his female."
"Genesis"|"007"|"003"|"Of fowls of the air also by sevens, the male and the female; to keep seed alive on the face of all the earth."
"Genesis"|"007"|"004"|"For yet seven days, and I will cause it to rain upon the earth forty days and forty nights: and every living substance that I have made will I destroy from the face of the earth."
"Genesis"|"007"|"005"|"And Noah did according to all that the LORD commanded him."
"Genesis"|"007"|"006"|"And Noah was six hundred years old when the flood of waters was on the earth."
"Genesis"|"007"|"007"|"And Noah went in, and his sons, and his wife, and his sons' wives with him, into the ark, because of the waters of the flood."
"Genesis"|"007"|"008"|"Of clean beasts, and of beasts that are not clean, and of fowls, and of every animal that creepeth upon the earth;"
"Genesis"|"007"|"009"|"There went in two and two to Noah into the ark, the male and the female, as God had commanded Noah."
"Genesis"|"007"|"010"|"And it came to pass after seven days, that the waters of the flood were upon the earth."
"Genesis"|"007"|"011"|"In the six hundredth year of Noah's life, in the second month, the seventeenth day of the month, the same day were all the fountains of the great deep broken up, and the windows of heaven were opened."
"Genesis"|"007"|"012"|"And the rain was upon the earth forty days and forty nights."
"Genesis"|"007"|"013"|"In the same day entered Noah, and Shem, and Ham, and Japheth, the sons of Noah, and Noah's wife, and the three wives of his sons with them, into the ark."
"Genesis"|"007"|"014"|"They, and every beast after his kind, and all the cattle after their kind, and every creeping animal that creepeth upon the earth after his kind, and every fowl after his kind, every bird of every sort."
"Genesis"|"007"|"015"|"And they went in to Noah into the ark, two and two of all flesh, in which is the breath of life."
"Genesis"|"007"|"016"|"And they that entered, went in male and female of all flesh, as God had commanded him: and the LORD shut him in."
"Genesis"|"007"|"017"|"And the flood was forty days upon the earth: and the waters increased, and bore up the ark, and it was lifted above the earth."
"Genesis"|"007"|"018"|"And the waters prevailed, and were increased greatly upon the earth: and the ark moved upon the face of the waters."
"Genesis"|"007"|"019"|"And the waters prevailed exceedingly upon the earth; and all the high hills that were under the whole heaven were covered."
"Genesis"|"007"|"020"|"Fifteen cubits upward did the waters prevail: and the mountains were covered."
"Genesis"|"007"|"021"|"And all flesh died that moved upon the earth, both of fowl, and of cattle, and of beast, and of every creeping animal that creepeth upon the earth, and every man:"
"Genesis"|"007"|"022"|"All in whose nostrils was the breath of life, of all that was on the dry land, died."
"Genesis"|"007"|"023"|"And every living substance was destroyed which was upon the face of the ground, both man, and cattle, and the creeping animals, and the fowl of heaven; and they were destroyed from the earth; and Noah only remained alive, and they that were with him in the ark."
"Genesis"|"007"|"024"|"And the waters prevailed upon the earth a hundred and fifty days."
"Genesis"|"008"|"001"|"And God remembered Noah, and every living animal, and all the cattle that were with him in the ark: and God made a wind to pass over the earth, and the waters were checked."
"Genesis"|"008"|"002"|"The fountains also of the deep, and the windows of heaven were stopped, and the rain from heaven was restrained;"
"Genesis"|"008"|"003"|"And the waters returned from off the earth continually: and after the end of the hundred and fifty days the waters were abated."
"Genesis"|"008"|"004"|"And the ark rested in the seventh month, on the seventeenth day of the month, upon the mountains of Ararat."
"Genesis"|"008"|"005"|"And the waters decreased continually, till the tenth month: in the tenth month, on the first day of the month, were the tops of the mountains seen."
"Genesis"|"008"|"006"|"And it came to pass at the end of forty days, that Noah opened the window of the ark which he had made:"
"Genesis"|"008"|"007"|"And he sent forth a raven, which went forth to and fro, till the waters were dried from off the earth."
"Genesis"|"008"|"008"|"Also he sent forth a dove from him, to see if the waters were abated from off the face of the ground;"
"Genesis"|"008"|"009"|"But the dove found no rest for the sole of her foot, and she returned to him into the ark; for the waters were on the face of the whole earth. Then he put forth his hand, and took her, and pulled her in to him into the ark."
"Genesis"|"008"|"010"|"And he stayed yet other seven days, and again he sent forth the dove out of the ark;"
"Genesis"|"008"|"011"|"And the dove came in to him in the evening, and lo, in her mouth was an olive-leaf plucked off: So Noah knew that the waters were abated from off the earth."
"Genesis"|"008"|"012"|"And he stayed yet other seven days, and sent forth the dove; which returned not again to him any more."
"Genesis"|"008"|"013"|"And it came to pass in the six hundredth and first year, in the first month, the first day of the month, the waters were dried from off the earth: and Noah removed the covering of the ark, and looked, and behold, the face of the ground was dry."
"Genesis"|"008"|"014"|"And in the second month, on the seven and twentieth day of the month, was the earth dried."
"Genesis"|"008"|"015"|"And God spoke to Noah, saying,"
"Genesis"|"008"|"016"|"Go forth from the ark, thou, and thy wife, and thy sons, and thy sons' wives with thee."
"Genesis"|"008"|"017"|"Bring forth with thee every living animal that is with thee, of all flesh, of fowl, and of cattle, and of every creeping animal that creepeth upon the earth; that they may breed abundantly on the earth, and be fruitful, and multiply upon the earth."
"Genesis"|"008"|"018"|"And Noah went forth, and his sons, and his wife, and his sons' wives with him:"
"Genesis"|"008"|"019"|"Every beast, every creeping animal, and every fowl, and whatsoever creepeth upon the earth, after their kinds, went out of the ark."
"Genesis"|"008"|"020"|"And Noah built an altar to the LORD, and took of every clean beast, and of every clean fowl, and offered burnt-offerings on the altar."
"Genesis"|"008"|"021"|"And the LORD smelled a sweet savor; and the LORD said in his heart, I will not again curse the ground any more for man's sake; for the imagination of man's heart is evil from his youth: neither will I again smite any more every living animal as I have done."
"Genesis"|"008"|"022"|"While the earth remaineth, seed-time and harvest, and cold and heat, and summer and winter, and day and night shall not cease."
"Genesis"|"009"|"001"|"And God blessed Noah and his sons, and said to them, Be fruitful, and multiply, and replenish the earth."
"Genesis"|"009"|"002"|"And the fear of you and the dread of you shall be upon every beast of the earth, and upon every fowl of the air, upon all that moveth on the earth, and upon all the fishes of the sea; into your hand are they delivered."
"Genesis"|"009"|"003"|"Every moving thing that liveth shall be food for you; even as the green herb have I given you all things:"
"Genesis"|"009"|"004"|"But flesh with the life of it, which is its blood, shall ye not eat."
"Genesis"|"009"|"005"|"And surely your blood of your lives will I require: at the hand of every beast will I require it: and at the hand of man, at the hand of every man's brother will I require the life of man."
"Genesis"|"009"|"006"|"Whoever sheddeth man's blood, by man shall his blood be shed: for in the image of God made he man."
"Genesis"|"009"|"007"|"And you, be ye fruitful, and multiply, bring forth abundantly in the earth, and multiply therein."
"Genesis"|"009"|"008"|"And God spoke to Noah, and to his sons with him, saying,"
"Genesis"|"009"|"009"|"And I, behold, I establish my covenant with you, and with your seed after you;"
"Genesis"|"009"|"010"|"And with every living creature that is with you, of the fowl, of the cattle, and of every beast of the earth with you, from all that go out of the ark, to every beast of the earth."
"Genesis"|"009"|"011"|"And I will establish my covenant with you; neither shall all flesh be cut off any more by the waters of a flood; neither shall there any more be a flood to destroy the earth."
"Genesis"|"009"|"012"|"And God said, This is the token of the covenant which I make between me and you and every living creature that is with you, for perpetual generations."
"Genesis"|"009"|"013"|"I do set my bow in the cloud, and it shall be for a token of a covenant between me and the earth."
"Genesis"|"009"|"014"|"And it shall come to pass, when I bring a cloud over the earth, that the bow shall be seen in the cloud:"
"Genesis"|"009"|"015"|"And I will remember my covenant, which is between me and you and every living creature of all flesh; and the waters shall no more become a flood to destroy all flesh."
"Genesis"|"009"|"016"|"And the bow shall be in the cloud; and I will look upon it, that I may remember the everlasting covenant between God and every living creature of all flesh that is upon the earth."
"Genesis"|"009"|"017"|"And God said to Noah, This is the token of the covenant which I have established between me and all flesh that is upon the earth."
"Genesis"|"009"|"018"|"And the sons of Noah that went forth from the ark, were Shem, and Ham, and Japheth: and Ham was the father of Canaan."
"Genesis"|"009"|"019"|"These three were the sons of Noah: and from them was the whole earth overspread."
"Genesis"|"009"|"020"|"And Noah began to be a husbandman, and he planted a vineyard:"
"Genesis"|"009"|"021"|"And he drank the wine, and was drunken, and he was uncovered within his tent."
"Genesis"|"009"|"022"|"And Ham, the father of Canaan, saw the nakedness of his father, and told his two brethren without."
"Genesis"|"009"|"023"|"And Shem and Japheth took a garment, and laid it upon both their shoulders, and went backward, and covered the nakedness of their father: and their faces were backward, and they saw not their father's nakedness."
"Genesis"|"009"|"024"|"And Noah awoke from his wine, and knew what his younger son had done to him."
"Genesis"|"009"|"025"|"And he said, Cursed be Canaan, a servant of servants shall he be to his brethren."
"Genesis"|"009"|"026"|"And he said, Blessed be the LORD God of Shem; and Canaan shall be his servant."
"Genesis"|"009"|"027"|"God shall enlarge Japheth, and he shall dwell in the tents of Shem; and Canaan shall be his servant."
"Genesis"|"009"|"028"|"And Noah lived after the flood three hundred and fifty years."
"Genesis"|"009"|"029"|"And all the days of Noah were nine hundred and fifty years: and he died."
"Genesis"|"010"|"001"|"Now these are the generations of the sons of Noah; Shem, Ham, and Japheth: and to them were sons born after the flood."
"Genesis"|"010"|"002"|"The sons of Japheth; Gomer, and Magog, and Madai, and Javan, and Tubal, and Meshech, and Tiras."
"Genesis"|"010"|"003"|"And the sons of Gomer; Ashkenaz, and Riphath, and Togarmah."
"Genesis"|"010"|"004"|"And the sons of Javan; Elishah, and Tarshish, Kittim, and Dodanim."
"Genesis"|"010"|"005"|"By these were the isles of the Gentiles divided in their lands; every one after his tongue, after their families, in their nations."
"Genesis"|"010"|"006"|"And the sons of Ham; Cush, and Mizraim, and Phut, and Canaan."
"Genesis"|"010"|"007"|"And the sons of Cush; Seba, and Havilah, and Sabtah, and Raamah, and Sabtecha; and the sons of Raamah, Sheba, and Dedan."
"Genesis"|"010"|"008"|"And Cush begat Nimrod: he began to be a mighty one in the earth."
